product_id,product_name,category,price
1,Product 1,Books,231.19
2,Product 2,Electronics,134.6
3,Product 3,Electronics,179.52
4,Product 4,Books,291.51
5,Product 5,Books,485.08
6,Product 6,Clothing,316.94
7,Product 7,Sports,447.3
8,Product 8,Clothing,447.54
9,Product 9,Clothing,10.83
10,Product 10,Sports,431.13
11,Product 11,Sports,305.48
12,Product 12,Electronics,360.51
13,Product 13,Books,382.46
14,Product 14,Home Appliances,317.68
15,Product 15,Electronics,98.08
16,Product 16,Books,170.41
17,Product 17,Books,225.73
18,Product 18,Electronics,226.0
19,Product 19,Clothing,61.36
20,Product 20,Sports,215.79
21,Product 21,Books,359.59
22,Product 22,Books,286.8
23,Product 23,Clothing,275.76
24,Product 24,Sports,467.18
25,Product 25,Home Appliances,239.28
26,Product 26,Sports,268.12
27,Product 27,Electronics,165.66
28,Product 28,Home Appliances,377.78
29,Product 29,Home Appliances,327.46
30,Product 30,Clothing,123.2
31,Product 31,Electronics,43.08
32,Product 32,Sports,481.1
33,Product 33,Home Appliances,210.02
34,Product 34,Electronics,369.97
35,Product 35,Sports,273.41
36,Product 36,Books,102.17
37,Product 37,Electronics,209.12
38,Product 38,Electronics,450.3
39,Product 39,Clothing,93.46
40,Product 40,Clothing,405.83
41,Product 41,Sports,297.54
42,Product 42,Books,133.4
43,Product 43,Books,359.76
44,Product 44,Clothing,309.7
45,Product 45,Books,37.63
46,Product 46,Electronics,370.26
47,Product 47,Electronics,432.62
48,Product 48,Sports,102.35
49,Product 49,Home Appliances,133.61
50,Product 50,Home Appliances,479.42
